Name,Adult,Episode_Run_Time,Genres,First_Air_Date,Last_Air_Date,Networks,Number_of_Episodes,Number_of_Seasons,Status,Popularity
Aliş ile Zeynep,false,50.0,"[""Aile"", ""Dram""]",1985-04-20,1985-05-18,"[""TRT 1""]",5.0,1.0,Ended,1.883
Acımak,false,55.0,"[""Aile"", ""Dram""]",1985-04-20,1985-06-01,"[""TRT 1""]",7.0,1.0,Ended,4.302
9. Hariciye Koğuşu,false,0.0,"[""Aile"", ""Dram""]",1985-01-29,1985-02-19,"[""TRT 1""]",5.0,1.0,Ended,2.958
Küçük Ağa,false,60.0,"[""Dram"", ""Savaş & Politik""]",1984-03-25,1984-05-13,"[""TRT 1""]",8.0,1.0,Ended,19.915
Devekuşu Kabare,false,70.0,String[],1984-01-01,1990-01-01,String[],12.0,1.0,Ended,7.839
Kartallar Yüksek Uçar,false,0.0,"[""Dram""]",1983-11-26,1984-02-11,"[""TRT 1""]",12.0,1.0,Ended,3.989
Üç İstanbul,false,0.0,String[],1983-01-01,1983-03-12,String[],11.0,1.0,Ended,7.971
Hacı Arif Bey,false,0.0,"[""Aile""]",1982-09-26,1982-10-24,String[],5.0,1.0,Ended,0.6
Yedi Kocalı Hürmüz,false,20.0,String[],1980-01-01,1980-01-01,String[],1.0,1.0,Ended,1.399
Denizin Kanı,false,50.0,String[],1978-01-01,1978-01-29,"[""TRT 1""]",5.0,1.0,Ended,3.143
Şıpsevdi,false,39.0,String[],1977-01-01,1977-01-22,"[""TRT 1""]",4.0,1.0,Ended,6.807
Seyahatname,false,0.0,String[],1977-01-01,1977-01-01,String[],1.0,1.0,Ended,1.258
